"","locationID","Longitude","Latitude"
"ADK","ADK","-176.6461","51.8781"
"AKK","AKK","-154.1825","56.9386"
"Z13","Z13","-161.4225","60.9047"
"AKI","AKI","-161.2306","60.9028"
"AUK","AUK","-164.66","62.68"
"5A8","5A8","-158.6178","59.2825"
"4AK7","4AK7","-158.5972","59.2808"
"Z25","Z25","-158.5578","59.2631"
"6A8","6A8","-152.6222","66.5519"
"AFM","AFM","-157.8575","67.1064"
"AK80","AK80","-151.1775","65.1017"
"AKP","AKP","-151.7433","68.1336"
"AK00","AK00","-151.8633","59.7967"
"00AK","00AK","-151.6964","59.8561"
"A13","A13","-148.9989","61.3414"
"CSR","CSR","-149.7806","61.1586"
"EDF","EDF","-149.8064","61.2514"
"6AK5","6AK5","-150.1606","61.1683"
"AK12","AK12","-149.8642","61.1067"
"Z41","Z41","-149.9653","61.1869"
"MRI","MRI","-149.8444","61.2136"
"AA05","AA05","-149.0783","61.5078"
"AA06","AA06","-149.8061","61.2897"
"9AK5","9AK5","-149.8189","61.1164"
"ANC","ANC","-149.9964","61.1744"
"ANI","ANI","-159.5431","61.5817"
"ANN","ANN","-131.5722","55.0425"
"ANV","ANV","-160.1906","62.6467"
"ARC","ARC","-145.5794","68.1147"
"AKA","AKA","-174.2064","52.2203"
"4A2","4A2","-162.2731","60.8667"
"ATK","ATK","-157.4358","70.4672"
"ATU","ATU","-173.1803","52.8283"
"BRW","BRW","-156.7661","71.2856"
"BTI","BTI","-143.5819","70.1339"
"Z47","Z47","-165.2997","64.6797"
"AK02","AK02","-161.0625","65.54"
"Z48","Z48","-156.1442","63.5717"
"Z52","Z52","-160.2661","56.0367"
"WBQ","WBQ","-147.4067","66.3622"
"BLG","BLG","-151.0439","61.1722"
"BET","BET","-161.8381","60.7797"
"BTT","BTT","-151.5292","66.9139"
"BGQ","BGQ","-149.8139","61.5361"
"9AK7","9AK7","-149.8167","61.5897"
"08AK","08AK","-149.7244","61.5697"
"AK86","AK86","-149.9114","61.5736"
"63AK","63AK","-149.9381","61.5844"
"20AK","20AK","-149.8961","61.5039"
"AK95","AK95","-149.7792","61.5703"
"09AK","09AK","-149.8472","61.5894"
"37AK","37AK","-155.2589","59.3611"
"Z91","Z91","-145.8242","66.2739"
"BCV","BCV","-149.5083","61.4161"
"5BK","5BK","-145.8608","63.5353"
"AK97","AK97","-146.1458","60.4231"
"BYA","BYA","-141.1133","64.0783"
"KTS","KTS","-166.4658","65.3314"
"AK98","AK98","-167.4858","65.6386"
"BVK","BVK","-161.1492","65.9817"
"AK75","AK75","-161.9264","65.9078"
"TTW","TTW","-148.9556","63.3911"
"15AK","15AK","-148.8503","63.3706"
"LUR","LUR","-166.11","68.875"
"EHM","EHM","-162.0628","58.6464"
"CZF","CZF","-166.0394","61.7811"
"26AK","26AK","-164.9144","54.5825"
"CEM","CEM","-144.7808","65.5739"
